source,target,model,seed,operating_point,average_precision,roc_auc,f1,recall,precision,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,mendeley,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,ddqn,11,default,0.23924040485479225,0.3816688809640352,0.0006893504151275209,-0.11584271496165766,0.048840575204411596,-0.28142857142857136,0.08279292823345685,-0.1949015261318101
iscx,mendeley,ddqn,11,validation_f1,0.23924040485479225,0.3816688809640352,-0.06464766812882172,-0.24196443139174417,0.021319011570773427,-0.33125000000000004,0.044642784304127936,-0.28459374200699117
iscx,mendeley,ddqn,11,validation_fpr_limit,0.23924040485479225,0.3816688809640352,-0.09891316332108013,-0.3517702724751183,0.18110105112958164,-0.7301785714285715,0.18920414947672654,-0.5324409583084662
iscx,mendeley,ddqn,23,default,0.015805080145797956,0.05418595436216567,-0.015774701589756135,-0.14423233806493718,0.03986092824481474,-0.2835714285714286,0.06966954525324565,-0.21075965555460818
iscx,mendeley,ddqn,23,validation_f1,0.015805080145797956,0.05418595436216567,-0.03498503401934905,-0.18045358133463862,0.030191803034155917,-0.29214285714285715,0.05584463790410926,-0.23377952084576692
iscx,mendeley,ddqn,23,validation_fpr_limit,0.015805080145797956,0.05418595436216567,-0.09633625654288513,-0.3499755261869799,0.181876676350123,-0.7291071428571428,0.18956580833508152,-0.5309915593827266
iscx,mendeley,ddqn,37,default,0.24789106762783386,0.4181937014894063,-0.0030960197743981066,-0.12367433512807957,0.04669115080391317,-0.2817857142857142,0.07905568957881737,-0.19916446414869127
iscx,mendeley,ddqn,37,validation_f1,0.24789106762783386,0.4181937014894063,-0.03324350939949372,-0.17833251753956603,0.03102629910129362,-0.29089285714285706,0.05628016980164552,-0.2320743456390144
iscx,mendeley,ddqn,37,validation_fpr_limit,0.24789106762783386,0.4181937014894063,-0.13579152732288458,-0.41213901125795405,0.18730112291855455,-0.76375,0.17580549437102305,-0.5800153465768607
iscx,mendeley,ddqn,51,default,0.06340592769206732,0.12461653322611471,-0.023155947346741645,-0.1605482134116495,0.03694811125925396,-0.29107142857142854,0.06526160757988952,-0.22286639952255094
iscx,mendeley,ddqn,51,validation_f1,0.06340592769206732,0.12461653322611471,-0.02339988161108375,-0.1610376896720509,0.03680641393509826,-0.29107142857142854,0.06501686944968882,-0.22312217580356386
iscx,mendeley,ddqn,51,validation_fpr_limit,0.06340592769206732,0.12461653322611471,-0.14437787988141954,-0.4093653124490129,0.2214433212598242,-0.7982142857142857,0.1944244866326364,-0.5950208883962826
